question,answer,predicted_synonym,label
enormously,tremendously,tremendously,correct
provisions,stipulations,interpretations,wrong
haphazardly,randomly,,guess
prominent,conspicuous,ancient,wrong
zenith,pinnacle,decline,wrong
flawed,imperfect,lustrous,wrong
urgently,desperately,tentatively,wrong
consumed,eaten,supplied,wrong
advent,coming,arrest,wrong
concisely,succinctly,succinctly,correct
salutes,greetings,privileges,wrong
solitary,alone,restless,wrong
hasten,accelerate,permit,wrong
perseverance,endurance,skill,wrong
fanciful,imaginative,familiar,wrong
showed,demonstrated,published,wrong
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,supply,correct
costly,expensive,popular,wrong
recognized,acknowledged,successful,wrong
spot,location,climate,wrong
make,earn,earn,correct
often,frequently,hardly,wrong
easygoing,relaxed,relaxed,correct
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,explained,wrong
infinite,limitless,relative,wrong
showy,striking,striking,correct
levied,imposed,imposed,correct
deftly,skillfully,occasionally,wrong
distribute,circulate,research,wrong
discrepancies,differences,differences,correct
prolific,productive,productive,correct
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,partly,wrong
hue,color,scent,wrong
hind,rear,rear,correct
highlight,accentuate,,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,exercise,wrong
verbally,orally,fittingly,wrong
physician,doctor,chemist,wrong
essentially,basically,ordinarily,wrong
keen,sharp,sharp,correct
situated,positioned,rotating,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,wrong
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,customarily,wrong
annals,chronicles,homes,wrong
wildly,furiously,abruptly,wrong
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,refined,wrong
perilous,dangerous,binding,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disguise,wrong
primarily,chiefly,occasionally,wrong
colloquial,conversational,recorded,wrong
resolved,settled,settled,correct
feasible,possible,evident,wrong
expeditiously,rapidly,actually,wrong
percentage,proportion,profit,wrong
terminated,ended,posed,wrong
uniform,alike,sharp,wrong
figure,solve,list,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,permanently,wrong
