question,answer,predicted_synonym,label
enormously,tremendously,appropriately,wrong
provisions,stipulations,interpretations,wrong
haphazardly,randomly,,guess
prominent,conspicuous,ancient,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,lustrous,wrong
urgently,desperately,tentatively,wrong
consumed,eaten,eaten,correct
advent,coming,arrest,wrong
concisely,succinctly,succinctly,correct
salutes,greetings,information,wrong
solitary,alone,restless,wrong
hasten,accelerate,permit,wrong
perseverance,endurance,skill,wrong
fanciful,imaginative,apparent,wrong
showed,demonstrated,published,wrong
constantly,continually,continually,correct
issues,subjects,training,wrong
furnish,supply,supply,correct
costly,expensive,popular,wrong
recognized,acknowledged,welcomed,wrong
spot,location,climate,wrong
make,earn,earn,correct
often,frequently,hardly,wrong
easygoing,relaxed,farming,wrong
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,explained,wrong
infinite,limitless,unusual,wrong
showy,striking,entertaining,wrong
levied,imposed,imposed,correct
deftly,skillfully,occasionally,wrong
distribute,circulate,research,wrong
discrepancies,differences,differences,correct
prolific,productive,promising,wrong
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,partly,wrong
hue,color,color,correct
hind,rear,rear,correct
highlight,accentuate,,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,fittingly,wrong
physician,doctor,chemist,wrong
essentially,basically,basically,correct
keen,sharp,famous,wrong
situated,positioned,rotating,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,materials,wrong
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,customarily,wrong
annals,chronicles,homes,wrong
wildly,furiously,furiously,correct
hailed,acclaimed,remembered,wrong
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,refined,wrong
perilous,dangerous,binding,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disguise,wrong
primarily,chiefly,chiefly,correct
colloquial,conversational,recorded,wrong
resolved,settled,settled,correct
feasible,possible,possible,correct
expeditiously,rapidly,frequently,wrong
percentage,proportion,profit,wrong
terminated,ended,ended,correct
uniform,alike,sharp,wrong
figure,solve,list,wrong
sufficient,enough,valuable,wrong
fashion,manner,craze,wrong
marketed,sold,,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,permanently,wrong
